Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Grenada,2020-04-21 14:30:32,12.1165,-61.679,14,0,6,8,12.442.343.070.948.000,,,0.0,308,GRD
Guatemala,2020-04-21 14:30:32,157.835,-902.308,294,7,24,263,1.641.030.953.695.180,,,2.380.952.380.952.380,320,GTM
Guinea,2020-04-21 14:30:32,9.9456,-96.966,622,5,122,495,47.362.358.286.036.900,,,8.038.585.209.003.210,324,GIN
Guinea-Bissau,2020-04-21 14:30:32,11.8037,-151.804,50,0,3,47,2.540.652.988.468.480,,,0.0,624,GNB
Guyana,2020-04-21 14:30:32,4.860.416.000.000.000,-5.893.018.000.000.000,66,7,9,50,8.390.978.934.828.790,,,10.606.060.606.060.600,328,GUY
Haiti,2020-04-21 14:30:32,189.712,-722.852,57,3,0,54,49.988.892.818.814.900,,,52.631.578.947.368.400,332,HTI
Holy See,2020-04-21 14:30:32,419.029,12.4534,9,0,2,7,11.124.845.488.257.100,,,0.0,336,VAT
Honduras,2020-04-21 14:30:32,15.2,-862.419,494,46,29,419,4.987.577.499.281.140,,,931.174.089.068.826,340,HND
Hungary,2020-04-21 14:30:32,471.625,195.033,2098,213,287,1598,21.717.639.630.034.100,,,1.015.252.621.544.320,348,HUN
India,2020-04-21 14:30:32,20.593.684,7.896.288,18985,603,3273,15109,13.757.202.662.801.600,,,31.761.917.303.134.000,356,IND
Indonesia,2020-04-21 14:30:32,-7.893,1.139.213,7135,616,842,5677,26.085.498.480.586.400,,,8.633.496.846.531.180,360,IDN
Iran,2020-04-21 14:30:32,32.427.908,5.368.804.599.999.990,84802,5297,60965,18540,10.096.323.199.876.000,,,6.246.314.945.402.230,364,IRN
Iraq,2020-04-21 14:30:32,33.223.191,43.679.291,1574,82,1043,449,3.913.232.351.552.060,,,5.209.656.925.031.760,368,IRQ
Israel,2020-04-21 14:30:32,31.046.051,34.851.612,13883,181,4353,9349,1.603.943.647.196.630,,,13.037.527.911.834.600,376,ISR
Jamaica,2020-04-21 14:30:32,181.096,-772.975,223,6,27,190,7.530.829.968.380.640,,,2.690.582.959.641.250,388,JAM
Japan,2020-04-21 14:30:32,36.204.824,138.252.924,11135,263,1239,9633,8.804.009.992.120.430,,,23.619.218.679.838.300,392,JPN
Jordan,2020-04-21 14:30:32,31.24,36.51,425,7,282,136,4.165.384.381.670.740,,,16.470.588.235.294.100,400,JOR
Kazakhstan,2020-04-21 14:30:32,480.196,669.237,1967,19,476,1472,10.475.745.294.422.400,,,9.659.379.766.141.330,398,KAZ
Kenya,2020-04-21 14:30:32,-236,379.062,296,14,74,208,5.504.795.309.021.720,,,472.972.972.972.973,404,KEN
"Korea, South",2020-04-21 14:30:32,3.590.775.700.000.000,127.766.922,10683,237,8213,2233,2.083.707.867.940.860,,,2.218.477.955.630.440,410,KOR
Kosovo,2020-04-21 14:30:32,42.602.636,20.902.977,510,12,93,405,2.817.109.910.371.710,,,23.529.411.764.705.800,383,XKS
Kuwait,2020-04-21 14:30:32,2.931.166,47.481.766,2080,11,412,1657,4.870.552.196.513.660,,,5.288.461.538.461.530,414,KWT
Kyrgyzstan,2020-04-21 14:30:32,4.120.438,74.766.098,590,7,216,367,9.043.266.820.361.320,,,11.864.406.779.661.000,417,KGZ
Laos,2020-04-21 14:30:32,1.985.627,102.495.496,19,0,2,17,261.148.426.319.583,,,0.0,418,LAO
Latvia,2020-04-21 14:30:32,568.796,246.032,748,9,133,606,39.656.410.076.969.400,,,12.032.085.561.497.300,428,LVA
Lebanon,2020-04-21 14:30:32,338.547,358.623,677,21,103,553,9.918.771.560.874.730,,,31.019.202.363.367.700,422,LBN
Liberia,2020-04-21 14:30:32,64.280.550.000.000.000,-9.429.499,101,8,7,86,19.969.642.189.487.300,,,7.920.792.079.207.920,430,LBR
Libya,2020-04-21 14:30:32,263.351,17.228.331,51,1,15,35,7.422.190.340.761.490,,,19.607.843.137.254.900,434,LBY
Liechtenstein,2020-04-21 14:30:32,47.14,9.55,81,1,55,25,21.239.216.508.902.100,,,12.345.679.012.345.600,438,LIE
